"Activity" "Variable" "dir" "mean" "meanFreq" "std"
"LAYING" "fBodyAcc" "X" -0.966812071347737 -0.259376067222388 -0.959031456047479
"LAYING" "fBodyAcc" "Y" -0.952678416904835 0.143045583957866 -0.942460971074588
"LAYING" "fBodyAcc" "Z" -0.960018019984568 0.20318696277 -0.945643635450566
"LAYING" "fBodyAccJerk" "X" -0.980197655180041 0.105178707989746 -0.982459599243827
"LAYING" "fBodyAccJerk" "Y" -0.971383628894033 0.00485365387352315 -0.973051242896091
"LAYING" "fBodyAccJerk" "Z" -0.976614530180041 0.0699619900375761 -0.980971915740741
"LAYING" "fBodyAccMag" "" -0.94767271172428 0.116228984859398 -0.934916672889661
"LAYING" "fBodyBodyAccJerkMag" "" -0.974300115365226 0.281115014821636 -0.97318339962963
"LAYING" "fBodyBodyGyroJerkMag" "" -0.977968240452675 0.165728127309943 -0.976648216795267
"LAYING" "fBodyBodyGyroMag" "" -0.95485445779321 -0.0293652946094444 -0.942115714415638
"LAYING" "fBodyGyro" "X" -0.962915035776389 -0.0174605087394012 -0.96974730340535
"LAYING" "fBodyGyro" "Y" -0.967582058544239 -0.139337310710561 -0.961365374902263
"LAYING" "fBodyGyro" "Z" -0.964184423173868 0.11328010251823 -0.966725247165638
"LAYING" "tBodyAcc" "X" 0.268648643296245 NA -0.960932405036523
"LAYING" "tBodyAcc" "Y" -0.0183177280685082 NA -0.943507185574074
"LAYING" "tBodyAcc" "Z" -0.107435631519084 NA -0.948069300024897
"LAYING" "tBodyAccJerk" "X" 0.0818473898341049 NA -0.980381808513375
"LAYING" "tBodyAccJerk" "Y" 0.0111723565401199 NA -0.971147567757202
"LAYING" "tBodyAccJerk" "Z" -0.00485976942268338 NA -0.979476595910494
"LAYING" "tBodyAccJerkMag" "" -0.97920875497428 NA -0.974240573559671
"LAYING" "tBodyAccMag" "" -0.941110656500514 NA -0.932160020511831
"LAYING" "tBodyGyro" "X" -0.0167253403420918 NA -0.967892432932613
"LAYING" "tBodyGyro" "Y" -0.0934107103603086 NA -0.963192469243827
"LAYING" "tBodyGyro" "Z" 0.125885141252623 NA -0.963509228024691
"LAYING" "tBodyGyroJerk" "X" -0.101864299363374 NA -0.976124813760288
"LAYING" "tBodyGyroJerk" "Y" -0.038198085408019 NA -0.980473581049383
"LAYING" "tBodyGyroJerk" "Z" -0.0638498197415123 NA -0.984782526095679
"LAYING" "tBodyGyroJerkMag" "" -0.982726626075103 NA -0.976754966054527
"LAYING" "tBodyGyroMag" "" -0.938435972026749 NA -0.940596109587449
"LAYING" "tGravityAcc" "X" -0.375021333827161 NA -0.943319727953189
"LAYING" "tGravityAcc" "Y" 0.622270362899691 NA -0.963191706084414
"LAYING" "tGravityAcc" "Z" 0.55561247407572 NA -0.951868724368827
"LAYING" "tGravityAccMag" "" -0.941110656500514 NA -0.932160020511831
"STANDING" "fBodyAcc" "X" -0.98162230498426 0.0155958491724008 -0.985859786930745
"STANDING" "fBodyAcc" "Y" -0.943132376852046 -0.0332741191101417 -0.931132967334732
"STANDING" "fBodyAcc" "Z" -0.957359650828961 0.0524670025367366 -0.935439598488982
"STANDING" "fBodyAccJerk" "X" -0.980008693961175 0.202899961364448 -0.981826075755509
"STANDING" "fBodyAccJerk" "Y" -0.96454742224554 -0.131892581837775 -0.966831630482686
"STANDING" "fBodyAccJerk" "Z" -0.976157838746065 0.00670022889249738 -0.981509250650577
"STANDING" "fBodyAccMag" "" -0.955868098520462 0.0484947368601238 -0.949601613473977
"STANDING" "fBodyBodyAccJerkMag" "" -0.971090423866737 0.251268415000934 -0.970947966726128
